 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  10/23/2023 10:03:26                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


18 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
001274 0x0D3528F0 0x000019A4 0x0D3528E0 0x000019C4 0x00000000 new[]       N       N    ??(00000)::??
000010 0x017E3850 0x00000008 0x017E3840 0x00000028 0x00000000 new         N       N    ??(00000)::??
000011 0x017E3958 0x00000008 0x017E3948 0x00000028 0x00000000 new         N       N    ??(00000)::??
000005 0x017E3A08 0x00000008 0x017E39F8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000008 0x017E3A60 0x00000008 0x017E3A50 0x00000028 0x00000000 new         N       N    ??(00000)::??
000012 0x017E3AB8 0x00000008 0x017E3AA8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000009 0x017E3B10 0x00000008 0x017E3B00 0x00000028 0x00000000 new         N       N    ??(00000)::??
000007 0x017E3C70 0x00000008 0x017E3C60 0x00000028 0x00000000 new         N       N    ??(00000)::??
001267 0x0D3A3E78 0x00000780 0x0D3A3E68 0x000007A0 0x00000000 new[]       N       N    ??(00000)::??
001268 0x0D3A4648 0x00000510 0x0D3A4638 0x00000530 0x00000000 new[]       N       N    ??(00000)::??
001272 0x0D3D99D8 0x00004CEC 0x0D3D99C8 0x00004D0C 0x00000000 new[]       N       N    ??(00000)::??
001269 0x018AA978 0x00000280 0x018AA968 0x000002A0 0x00000000 new[]       N       N    ??(00000)::??
001266 0x0AA9AAF8 0x00000034 0x0AA9AAE8 0x00000054 0x00000000 new         N       N    ??(00000)::??
000002 0x017BADB0 0x00000008 0x017BADA0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000003 0x017BAE08 0x00000008 0x017BADF8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000004 0x017BAE60 0x00000008 0x017BAE50 0x00000028 0x00000000 new         N       N    ??(00000)::??
000001 0x017BB730 0x00000008 0x017BB720 0x00000028 0x00000000 new         N       N    ??(00000)::??
001273 0x0D3CE550 0x00002AFC 0x0D3CE540 0x00002B1C 0x00000000 new[]       N       N    ??(00000)::??
